zipcode_link,zip4,PROVINCIE,URB2,INKOMEN,SOCKL_A,SOCKL_B1,SOCKL_B2,SOCKL_C,SOCKL_D,OPL_HOOG,OPL_MID,OPL_LAAG,TWEEVERD2,K_WON_EIG2,WOZ_WON,K_HPR_WON,LEVENSFAS2,K_ALLEEN2,K_PAAR_MK2,K_PAAR_ZK2,K_JALLEEN2,K_MALLEEN2,K_OALLEEN2,K_PAARAJK2,K_PAARAOK2,K_JPAARZK2,K_MPAARZK2,K_OPAARZK2,K_G_GEZGRT,LENEN2,SPAREN2,KOOPINTERN,K_AUTOBEZ2
16853,2831,Zuid-Holland,7,3,1,4,3,1,1,2,4,3,6,5,7,NA,8,2,4,4,1,2,1,3,3,1,4,3,5,4,5,6,5
12902,2841,Zuid-Holland,6,2,2,4,3,1,1,2,4,3,3,5,5,NA,4,4,4,3,2,3,3,3,2,1,2,2,3,3,4,6,5
18188,2841,Zuid-Holland,6,6,4,2,1,1,1,4,3,1,4,4,10,NA,9,3,4,5,2,2,3,2,3,1,2,4,4,1,5,4,5
17955,2841,Zuid-Holland,6,1,5,1,1,1,1,5,1,1,6,5,9,NA,6,2,5,4,1,2,1,3,4,1,3,3,5,1,6,6,5
22815,2841,Zuid-Holland,6,NA,5,1,1,1,1,5,1,1,6,5,11,NA,4,2,5,3,1,2,1,4,4,1,3,2,6,2,6,6,5
23647,2841,Zuid-Holland,6,3,2,5,2,1,1,1,5,2,5,4,11,NA,9,2,4,4,1,2,1,2,4,1,2,4,6,2,6,5,5
15909,2841,Zuid-Holland,6,2,3,3,2,1,2,3,3,2,4,4,11,NA,9,3,4,4,1,2,3,3,3,1,2,4,4,2,5,4,5
13012,2841,Zuid-Holland,6,2,3,4,2,1,1,2,4,2,6,4,7,8,6,2,5,4,1,1,2,3,4,1,1,4,6,4,5,6,4
10219,2841,Zuid-Holland,6,6,3,3,2,1,1,3,4,2,4,4,8,9,6,3,4,4,2,3,2,3,4,1,2,4,5,3,5,5,4
24111,2841,Zuid-Holland,6,2,2,4,3,1,1,2,5,1,6,5,8,NA,6,2,4,4,1,2,1,3,4,2,3,3,5,4,6,6,5
17974,2841,Zuid-Holland,6,1,5,1,1,1,1,5,1,1,4,5,11,NA,9,3,3,5,1,3,1,1,3,1,3,4,3,1,6,6,5
16832,2841,Zuid-Holland,6,2,2,4,2,2,1,2,5,1,6,5,5,NA,4,2,5,4,1,2,1,4,2,1,4,2,5,4,6,6,5
21111,2841,Zuid-Holland,6,3,1,1,5,2,1,1,3,5,1,1,3,NA,1,5,4,2,4,3,2,3,3,2,1,1,3,4,3,3,1
22771,2841,Zuid-Holland,6,3,2,4,2,1,1,2,4,2,4,5,5,NA,4,3,4,4,1,1,3,4,1,1,3,3,4,4,6,6,5
23230,2851,Zuid-Holland,7,2,3,3,2,2,1,3,4,2,4,4,9,NA,9,4,4,4,2,3,2,3,3,1,3,4,3,3,5,6,3
11789,2851,Zuid-Holland,7,4,1,3,4,2,2,1,3,4,3,2,6,9,4,4,4,3,2,3,3,4,2,2,2,2,4,3,4,4,4
23044,2851,Zuid-Holland,7,2,3,4,2,1,1,3,4,2,4,4,9,10,9,3,4,5,1,2,3,2,3,2,2,4,4,2,6,5,4
14947,2851,Zuid-Holland,7,3,1,2,3,3,2,2,3,4,2,2,6,8,9,3,3,5,1,1,3,1,3,1,3,4,4,2,3,3,5
15627,2851,Zuid-Holland,7,NA,5,2,1,1,1,5,2,1,6,5,11,NA,4,1,5,4,1,1,1,4,2,2,3,3,6,4,6,6,5
12188,2861,Zuid-Holland,6,NA,1,5,1,1,2,3,4,1,5,1,7,NA,4,4,5,1,4,1,1,4,4,1,1,1,5,4,6,6,2
22857,2861,Zuid-Holland,6,3,3,2,3,2,2,3,2,4,2,3,5,9,3,5,3,4,1,1,4,3,2,1,1,4,3,1,3,3,4
18919,2861,Zuid-Holland,6,2,2,2,3,1,2,2,3,3,4,2,6,9,6,3,5,4,2,2,2,3,4,1,1,4,5,4,4,5,4
19658,2861,Zuid-Holland,6,3,2,3,4,1,1,1,4,3,4,4,8,NA,4,2,4,4,1,2,1,4,3,3,2,4,5,3,4,5,4
24162,2861,Zuid-Holland,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12000,2861,Zuid-Holland,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15495,2865,Zuid-Holland,7,2,3,3,3,1,1,3,3,3,4,4,9,NA,9,1,4,5,1,1,1,4,3,1,1,4,5,3,4,5,5
13117,2865,Zuid-Holland,7,1,5,1,1,1,1,5,1,1,4,5,10,NA,9,1,4,5,1,1,1,4,1,1,3,4,3,1,6,5,5
16198,2871,Zuid-Holland,5,2,4,3,1,1,1,4,3,1,3,4,9,NA,9,4,3,5,3,2,3,2,2,1,3,4,3,2,6,4,5
16452,2871,Zuid-Holland,5,3,3,3,3,1,1,3,3,3,4,2,9,NA,3,5,4,2,1,2,4,3,3,1,2,2,4,3,5,5,3
10868,2871,Zuid-Holland,5,2,3,4,2,1,1,3,4,1,5,5,6,NA,9,1,4,4,1,1,1,3,4,1,2,4,5,4,6,5,5
23643,2871,Zuid-Holland,5,2,3,4,1,1,1,2,5,1,6,5,7,NA,4,1,5,4,1,1,1,4,4,1,3,3,5,3,6,6,5
19127,2871,Zuid-Holland,5,2,4,3,2,1,1,4,3,2,5,4,10,NA,9,2,4,4,1,2,1,3,4,1,1,4,6,2,6,6,5
25268,2871,Zuid-Holland,5,3,1,1,4,3,1,1,3,4,2,1,6,8,2,5,4,2,1,4,3,3,3,1,1,2,4,4,3,3,3
22053,2871,Zuid-Holland,5,3,1,2,5,1,2,1,4,3,4,1,6,9,2,4,4,2,1,4,3,3,4,1,1,2,5,5,4,5,5
23103,2871,Zuid-Holland,5,2,4,3,2,2,1,3,3,2,4,5,9,NA,9,2,4,5,1,2,1,3,3,1,3,4,4,1,6,5,5
20815,2871,Zuid-Holland,5,6,2,4,3,1,1,2,4,2,5,3,7,NA,6,3,4,4,2,2,3,3,4,1,3,3,4,2,5,5,5
19189,2901,Zuid-Holland,3,3,1,3,3,1,1,1,4,3,5,4,6,NA,9,3,3,5,1,1,3,3,1,2,3,4,4,3,4,5,5
25430,2901,Zuid-Holland,3,6,2,4,2,2,2,2,4,2,5,4,8,11,4,4,4,4,1,3,3,3,3,1,3,3,4,3,4,6,4
15606,2901,Zuid-Holland,3,1,5,1,2,1,1,5,2,1,6,5,10,NA,6,2,4,4,1,2,1,3,4,1,3,3,5,4,6,6,5
23614,2901,Zuid-Holland,3,2,4,3,2,1,1,4,3,1,3,4,9,NA,9,4,3,4,1,3,4,3,1,1,2,4,3,2,5,4,5
11563,2901,Zuid-Holland,3,6,3,3,3,2,1,3,4,2,2,4,6,NA,3,4,3,4,2,3,4,2,2,2,2,4,3,1,5,4,3
22600,2901,Zuid-Holland,3,1,5,2,1,1,1,5,2,1,5,4,9,NA,4,3,5,4,2,2,2,4,3,1,3,3,5,4,5,6,4
25409,2901,Zuid-Holland,3,2,5,2,1,2,1,5,3,1,6,4,9,NA,4,2,4,4,1,2,2,4,3,2,3,3,5,4,6,6,5
15908,2901,Zuid-Holland,3,1,5,2,1,1,1,5,2,1,5,4,10,NA,9,2,4,5,1,2,2,3,4,1,3,4,4,3,5,6,5
16776,2901,Zuid-Holland,3,1,4,2,2,1,1,5,2,1,5,4,9,NA,6,3,4,4,2,2,3,3,4,1,3,3,4,3,6,6,5
24554,2901,Zuid-Holland,3,6,3,3,2,1,1,3,3,2,4,4,7,NA,9,3,4,4,2,2,3,2,3,1,2,4,4,1,6,5,5
20350,2901,Zuid-Holland,3,2,3,3,3,1,1,2,4,2,5,2,8,9,6,4,4,3,1,3,3,3,4,2,3,2,5,4,4,6,4
14903,2901,Zuid-Holland,3,1,4,2,2,1,1,5,2,2,6,4,9,11,6,2,5,4,1,2,1,3,4,2,3,3,5,4,5,6,5
12458,2901,Zuid-Holland,3,6,3,2,3,2,2,3,2,3,3,2,5,10,3,5,4,3,1,2,4,3,3,1,2,3,4,1,3,4,3
21883,2901,Zuid-Holland,3,1,5,2,1,1,1,5,2,1,5,4,9,NA,9,3,4,5,2,2,2,3,3,2,3,4,4,3,5,6,5
18315,2901,Zuid-Holland,3,1,5,2,2,1,1,5,2,1,6,4,9,NA,6,2,5,4,2,2,1,3,4,1,3,3,5,3,6,6,5
10613,2901,Zuid-Holland,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24411,2901,Zuid-Holland,3,2,3,4,2,1,1,3,4,1,3,4,6,NA,9,4,3,4,2,4,3,2,2,2,2,4,3,2,6,5,5
10522,2901,Zuid-Holland,3,6,4,2,2,1,1,4,3,2,6,5,9,NA,4,2,4,4,1,2,2,4,3,2,3,3,5,3,4,6,5
20219,2902,Zuid-Holland,3,NA,3,4,1,1,1,3,4,1,4,2,7,NA,1,4,4,2,4,1,1,4,2,2,1,1,5,6,6,6,2
17771,2902,Zuid-Holland,3,6,5,2,1,1,1,5,2,1,2,4,10,NA,9,4,3,5,1,2,4,1,3,1,2,4,3,1,6,3,5
11693,2902,Zuid-Holland,3,2,2,4,3,2,1,2,4,2,3,3,5,8,2,5,3,4,2,4,3,3,2,3,2,3,3,4,4,6,3
12770,2902,Zuid-Holland,3,4,1,2,4,2,2,2,2,4,2,4,4,9,3,4,4,3,3,3,3,3,3,2,2,2,3,4,3,3,2
18134,2902,Zuid-Holland,3,3,1,2,4,2,2,2,4,3,3,4,4,10,6,4,4,3,3,3,3,2,3,3,1,3,4,4,3,5,3
20975,2902,Zuid-Holland,3,4,1,1,4,2,2,1,3,4,2,3,4,9,2,5,3,3,2,4,3,3,1,3,1,2,3,4,3,2,2
14663,2902,Zuid-Holland,3,3,1,3,3,3,2,2,5,2,2,4,4,9,1,5,3,3,3,3,3,3,2,2,3,1,3,4,4,3,3
20627,2902,Zuid-Holland,3,3,1,3,3,2,2,2,4,2,2,4,3,6,2,5,3,3,2,4,2,3,2,3,2,2,3,3,4,5,3
22283,2902,Zuid-Holland,3,2,1,4,2,1,2,1,5,2,5,5,5,NA,6,3,5,3,1,3,1,3,4,1,3,2,5,4,5,6,5
17205,2902,Zuid-Holland,3,2,2,3,3,1,1,2,4,3,2,2,5,11,9,4,3,4,2,3,3,2,2,2,2,4,3,3,4,4,3
23460,2902,Zuid-Holland,3,2,2,4,2,1,1,3,4,2,1,4,8,NA,9,4,2,4,1,3,4,2,1,1,1,4,2,1,5,3,5
22885,2902,Zuid-Holland,3,2,3,3,2,1,1,3,3,2,2,5,8,NA,9,4,3,4,2,3,3,2,2,1,2,4,3,1,6,4,4
11969,2902,Zuid-Holland,3,3,2,3,4,1,1,2,4,3,3,4,4,NA,3,4,3,4,2,3,4,2,3,2,3,2,3,4,6,4,5
20768,2902,Zuid-Holland,3,3,1,3,4,2,1,1,4,4,3,4,4,8,2,4,3,4,2,3,3,3,2,3,2,3,3,4,4,4,4
22921,2902,Zuid-Holland,3,2,4,3,1,1,1,4,3,1,5,4,8,NA,9,2,5,4,1,1,2,4,4,1,1,4,6,3,6,5,5
24920,2902,Zuid-Holland,3,3,1,4,3,2,1,1,5,2,4,4,7,NA,9,3,4,4,1,2,3,3,2,1,3,4,4,3,4,4,5
12310,2902,Zuid-Holland,3,6,5,2,1,1,1,5,1,1,1,4,11,NA,9,3,1,5,1,1,3,1,1,1,2,4,3,1,6,1,5
25425,2902,Zuid-Holland,3,6,3,4,1,1,1,2,4,2,2,4,9,NA,9,4,2,5,1,2,3,1,2,1,2,4,3,1,6,3,5
16077,2902,Zuid-Holland,3,2,2,3,3,1,1,3,4,2,3,4,4,NA,4,4,4,3,3,3,3,3,2,3,2,2,4,4,5,6,3
25496,2902,Zuid-Holland,3,2,3,2,4,2,1,3,4,2,3,4,4,9,7,4,3,4,1,3,3,3,2,4,2,3,3,4,5,6,3
23207,2902,Zuid-Holland,3,3,1,2,5,1,1,1,5,2,2,4,4,NA,7,4,3,4,2,3,2,3,3,4,2,3,3,4,6,6,3
15390,2902,Zuid-Holland,3,2,3,2,3,1,2,3,3,2,4,4,4,9,2,4,3,4,2,3,3,3,2,3,2,2,2,3,4,6,2
10798,2902,Zuid-Holland,3,2,2,3,3,1,1,3,4,1,4,4,4,NA,7,4,3,4,3,3,2,3,1,4,2,2,3,4,5,6,3
25429,2903,Zuid-Holland,3,3,1,1,4,3,1,1,3,4,3,1,4,9,4,4,5,2,1,3,3,4,3,1,2,1,5,5,3,4,2
18177,2903,Zuid-Holland,3,2,1,1,4,3,1,1,5,2,1,1,7,9,3,5,2,4,2,2,4,2,2,2,1,4,2,1,4,2,4
23199,2903,Zuid-Holland,3,2,3,4,2,1,1,2,5,2,6,4,9,10,6,2,5,4,1,1,2,4,4,1,1,4,6,4,4,6,5
23640,2903,Zuid-Holland,3,4,1,1,2,4,2,1,2,5,1,1,3,6,2,5,4,3,1,4,3,3,3,1,1,3,3,2,2,1,1
20213,2903,Zuid-Holland,3,2,3,3,3,1,1,3,4,2,5,3,6,9,4,2,4,4,1,2,1,4,2,1,3,3,4,5,4,6,4
23917,2903,Zuid-Holland,3,2,3,3,2,1,1,2,4,1,5,4,8,NA,9,2,5,4,1,1,2,4,3,1,1,4,6,4,4,5,5
22446,2903,Zuid-Holland,3,NA,2,4,2,1,1,2,4,2,3,2,7,NA,9,4,3,4,1,4,3,2,2,2,2,4,3,3,6,6,4
24708,2903,Zuid-Holland,3,4,1,1,2,4,2,1,1,5,1,2,3,6,2,5,4,2,2,4,3,3,2,1,2,1,3,3,3,2,1
21049,2903,Zuid-Holland,3,4,1,1,2,4,2,2,2,5,1,1,3,9,2,5,3,3,1,4,2,3,2,2,2,2,2,2,3,2,1
25093,2903,Zuid-Holland,3,2,3,3,2,1,1,3,4,1,4,2,6,11,4,4,4,4,4,1,1,4,3,1,2,3,4,4,6,6,3
20692,2903,Zuid-Holland,3,4,1,1,3,3,2,1,2,5,2,1,3,9,6,3,5,2,2,3,1,4,4,2,1,1,5,4,2,2,1
20122,2903,Zuid-Holland,3,3,1,1,3,4,2,2,4,3,1,1,3,11,4,4,5,2,3,1,3,4,3,1,1,2,4,5,3,1,1
24811,2903,Zuid-Holland,3,2,2,4,3,2,1,2,5,2,4,4,4,9,4,4,3,4,2,3,3,3,1,2,3,2,3,4,6,6,4
14343,2904,Zuid-Holland,3,3,1,1,2,4,2,1,5,2,1,1,3,9,2,5,3,2,2,4,3,3,1,1,2,1,2,2,5,1,1
25094,2904,Zuid-Holland,3,3,1,4,3,1,1,1,5,2,5,4,7,NA,4,2,5,4,1,1,2,4,3,1,2,4,5,4,6,5,5
17718,2904,Zuid-Holland,3,1,4,3,2,2,1,5,2,1,5,5,7,NA,9,2,4,5,1,2,1,4,1,3,3,4,4,4,4,6,5
11428,2904,Zuid-Holland,3,2,4,3,1,2,1,4,3,1,3,5,8,NA,9,4,4,4,1,3,2,4,2,2,2,4,4,4,6,5,5
18192,2904,Zuid-Holland,3,2,3,4,2,2,1,3,4,1,5,5,8,NA,9,2,4,5,1,2,1,3,3,3,3,4,4,3,4,4,5
19949,2904,Zuid-Holland,3,1,5,1,1,2,1,5,1,1,6,5,8,NA,4,2,4,4,1,2,1,3,3,2,3,3,5,4,6,6,5
15699,2904,Zuid-Holland,3,2,4,3,2,1,1,3,4,1,3,5,9,NA,9,2,4,5,2,2,1,3,3,2,2,4,4,3,6,5,5
16648,2904,Zuid-Holland,3,2,4,3,1,1,1,4,3,2,5,5,9,NA,9,2,4,4,1,2,1,3,4,1,3,4,5,4,6,6,5
25310,2904,Zuid-Holland,3,1,5,1,1,1,1,5,1,1,6,5,12,NA,6,1,5,4,1,1,1,2,4,1,3,3,5,1,6,6,5
14996,2904,Zuid-Holland,3,1,5,2,1,1,1,5,2,1,6,4,9,NA,6,2,5,4,2,2,2,3,4,2,3,3,5,4,6,6,5
17402,2904,Zuid-Holland,3,6,2,5,2,1,1,2,5,1,4,5,8,NA,9,2,4,5,1,2,1,3,2,1,3,4,4,2,5,4,5
14041,2904,Zuid-Holland,3,1,5,2,1,2,1,5,2,1,6,4,11,NA,6,2,5,3,1,1,2,4,4,1,1,3,5,2,4,6,4
11003,2904,Zuid-Holland,3,3,1,3,4,2,1,2,3,3,4,2,6,11,9,2,4,4,1,2,2,3,3,2,2,4,5,4,3,4,5
13782,2904,Zuid-Holland,3,2,1,3,3,2,1,2,4,2,5,2,6,11,9,3,5,4,1,2,2,4,3,1,1,4,5,4,6,5,5
16138,2904,Zuid-Holland,3,1,5,2,2,1,1,5,1,2,4,5,9,NA,9,2,4,5,1,1,2,3,3,1,2,4,4,2,5,4,5
19248,2904,Zuid-Holland,3,6,4,2,2,1,1,4,3,1,4,4,8,NA,9,3,4,4,1,2,3,3,3,2,2,4,4,2,6,5,5
22662,2904,Zuid-Holland,3,3,1,2,4,2,1,2,3,4,1,1,4,9,4,4,4,3,1,3,4,4,2,2,2,2,4,4,3,2,3
22723,2905,Zuid-Holland,3,2,1,4,3,1,1,2,5,2,5,4,6,11,9,3,4,5,2,2,1,3,3,1,3,4,5,5,4,4,5
21708,2905,Zuid-Holland,3,2,3,3,2,1,1,4,3,1,3,4,6,11,9,4,3,4,2,4,2,3,2,1,2,4,3,3,5,5,4
21800,2905,Zuid-Holland,3,1,5,1,2,1,1,5,2,2,5,4,9,NA,9,1,4,5,1,1,1,3,4,1,3,4,5,3,5,5,5
18536,2905,Zuid-Holland,3,3,1,3,4,1,1,1,5,2,3,2,5,9,4,4,3,4,2,3,2,3,1,3,2,2,3,4,5,4,3
18284,2905,Zuid-Holland,3,2,1,5,2,1,1,2,5,1,4,4,5,11,2,4,4,4,1,4,1,3,3,3,3,3,3,4,6,5,4
15006,2905,Zuid-Holland,3,2,4,2,2,1,2,5,2,1,5,4,5,11,8,3,4,4,3,2,1,3,3,1,4,1,4,4,6,6,4
13817,2906,Zuid-Holland,3,2,2,3,3,2,2,2,4,3,3,2,7,NA,9,3,4,4,1,3,2,3,3,1,2,3,4,4,4,5,4
21882,2906,Zuid-Holland,3,3,1,1,4,3,2,1,3,4,2,1,4,NA,4,5,4,2,3,3,3,4,2,1,2,1,3,4,3,3,2
11591,2906,Zuid-Holland,3,3,1,3,3,2,1,2,4,3,3,3,5,9,9,4,3,4,3,3,3,3,2,2,2,3,3,4,4,3,4
15696,2906,Zuid-Holland,3,3,2,4,3,1,2,2,4,2,5,4,9,5,6,3,5,4,2,2,1,3,4,2,2,4,5,3,4,5,4
22534,2906,Zuid-Holland,3,6,3,3,2,1,2,2,3,3,6,5,9,NA,6,1,5,4,1,1,1,3,4,1,1,4,6,2,6,6,5
23026,2906,Zuid-Holland,3,4,1,2,4,2,3,2,3,4,1,1,4,4,4,5,3,3,3,3,3,3,1,3,1,2,3,3,3,2,2
23449,2906,Zuid-Holland,3,2,4,2,1,2,1,4,3,2,4,4,9,NA,6,3,4,4,2,1,2,2,4,1,3,4,5,3,4,6,5
23916,2906,Zuid-Holland,3,6,2,4,2,1,1,3,4,2,5,4,6,NA,9,3,5,4,1,2,2,3,4,1,1,4,5,1,5,5,5
10394,2906,Zuid-Holland,3,1,5,2,1,1,1,5,2,1,4,5,9,NA,9,3,3,5,1,2,2,3,2,1,2,4,3,2,6,5,5
24649,2907,Zuid-Holland,3,1,5,2,2,1,1,5,2,2,4,4,10,11,9,2,3,5,2,1,1,2,3,1,3,4,3,2,6,5,5
17342,2907,Zuid-Holland,3,3,1,3,3,2,1,1,5,2,3,2,6,9,9,3,4,5,1,2,2,4,2,2,3,4,3,4,3,4,5
16321,2907,Zuid-Holland,3,2,3,3,2,2,1,3,4,2,5,5,5,NA,6,4,4,3,2,3,3,3,4,1,3,3,4,5,5,6,5
16290,2907,Zuid-Holland,3,2,2,4,2,2,2,3,4,1,5,4,6,10,4,4,4,4,2,3,3,4,2,3,3,2,4,5,4,6,4
24657,2907,Zuid-Holland,3,3,1,4,3,2,1,2,4,2,4,4,5,11,2,4,4,4,2,3,3,3,2,2,2,3,4,4,4,5,4
23483,2907,Zuid-Holland,3,3,1,3,4,2,1,2,4,2,3,3,4,10,2,5,3,4,1,4,3,3,2,3,2,3,3,4,3,4,3
22683,2907,Zuid-Holland,3,2,3,4,2,2,1,3,4,2,5,5,8,NA,9,3,4,4,1,2,2,3,4,1,1,4,5,4,5,5,5
16652,2907,Zuid-Holland,3,2,4,3,2,1,1,3,4,1,5,4,8,9,9,3,4,4,1,2,3,3,4,1,2,4,4,4,5,6,5
24709,2907,Zuid-Holland,3,1,5,1,2,1,1,5,1,2,5,4,8,9,9,1,5,4,1,1,1,3,4,2,1,4,5,3,6,6,5
18278,2907,Zuid-Holland,3,3,1,3,3,2,2,2,3,3,3,3,5,NA,4,4,4,4,2,3,3,3,3,2,2,3,4,4,3,4,3
20539,2907,Zuid-Holland,3,4,1,2,3,3,2,2,2,5,2,1,4,9,4,4,5,2,3,3,2,4,3,1,2,1,4,4,3,1,2
22651,2907,Zuid-Holland,3,3,1,2,3,3,2,2,4,3,3,2,4,11,4,5,4,3,3,3,3,4,3,1,2,2,3,5,4,3,2
15840,2907,Zuid-Holland,3,2,1,4,3,1,1,2,4,3,4,2,6,11,4,3,4,4,2,3,2,4,2,2,3,4,4,4,4,5,5
23960,2907,Zuid-Holland,3,6,2,4,2,2,1,3,4,2,3,4,7,NA,9,4,3,5,2,2,3,2,2,1,2,4,3,1,4,4,5
10922,2908,Zuid-Holland,3,2,3,4,2,2,1,3,4,2,6,5,8,NA,4,2,5,4,1,2,1,4,3,1,4,3,5,4,6,6,5
18320,2908,Zuid-Holland,3,2,1,5,2,1,1,2,5,2,5,4,8,NA,9,3,4,4,1,2,3,3,3,1,2,4,4,4,5,4,5
15328,2908,Zuid-Holland,3,2,2,4,3,1,1,2,5,2,4,4,4,NA,2,4,4,4,2,3,2,3,2,3,2,3,3,5,5,6,4
20186,2908,Zuid-Holland,3,2,1,4,2,2,1,2,5,2,5,4,5,10,4,4,4,4,2,3,2,4,3,2,3,3,4,4,4,6,4
19454,2908,Zuid-Holland,3,2,3,4,2,1,1,3,4,2,4,4,8,NA,9,3,4,5,2,1,2,3,3,2,2,4,4,3,5,5,5
24528,2908,Zuid-Holland,3,2,2,5,1,1,1,3,4,1,4,4,7,NA,9,3,4,5,1,2,2,3,3,2,3,4,4,2,6,4,5
18921,2908,Zuid-Holland,3,1,5,2,2,1,1,5,2,1,5,5,9,NA,9,2,4,5,1,1,2,3,3,1,3,4,4,1,6,5,5
23296,2909,Zuid-Holland,3,1,5,1,1,1,1,5,1,1,6,4,10,NA,4,3,5,3,2,2,1,4,4,1,2,2,6,4,5,6,4
18392,2909,Zuid-Holland,3,1,5,1,1,1,1,5,1,1,6,4,9,NA,4,3,5,3,2,3,2,4,4,1,3,2,6,3,6,6,5
15370,2911,Zuid-Holland,4,4,1,1,3,3,3,1,2,5,2,2,5,7,2,5,4,3,1,4,3,3,2,1,2,2,4,1,2,2,3
17553,2911,Zuid-Holland,4,3,1,2,4,2,2,1,3,4,2,2,5,7,2,5,3,4,3,3,3,3,3,2,3,1,3,3,3,5,3
25258,2911,Zuid-Holland,4,6,3,3,2,1,1,3,4,2,5,4,13,NA,9,2,5,4,1,2,1,3,4,1,2,4,5,3,5,6,5
24473,2911,Zuid-Holland,4,3,1,4,2,1,1,1,5,2,2,4,2,NA,3,5,3,2,1,1,4,2,3,1,1,2,3,2,5,2,5
17970,2911,Zuid-Holland,4,1,4,3,1,1,1,4,3,1,4,3,15,NA,6,3,5,3,1,3,1,4,4,1,2,3,6,4,6,6,3
20557,2911,Zuid-Holland,4,1,5,2,2,1,1,5,2,1,5,4,15,NA,9,3,4,4,1,1,3,3,3,1,3,4,4,2,5,6,5
15025,2911,Zuid-Holland,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17012,2911,Zuid-Holland,4,NA,5,1,1,1,1,5,2,1,6,5,11,NA,6,2,5,2,1,2,1,4,4,1,2,2,6,3,6,6,5
25312,2911,Zuid-Holland,4,NA,2,2,5,1,1,2,5,1,3,2,5,NA,1,5,3,2,4,2,1,3,2,2,2,2,3,3,6,6,1
19661,2911,Zuid-Holland,4,NA,2,4,3,1,1,5,1,1,1,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,5,1,6,6,1
24532,2911,Zuid-Holland,4,2,1,2,4,2,1,1,2,5,3,2,6,9,2,4,4,4,1,4,3,2,3,1,2,3,4,1,4,4,5
18548,2911,Zuid-Holland,4,1,5,2,1,2,1,5,1,2,6,5,9,NA,6,2,5,4,1,2,1,3,4,2,3,2,5,2,6,6,5
15600,2911,Zuid-Holland,4,1,5,2,1,1,1,5,2,1,5,5,10,NA,9,2,5,4,1,2,1,3,4,2,2,4,5,2,6,6,5
12149,2911,Zuid-Holland,4,1,4,3,2,1,1,4,3,1,4,5,10,NA,9,3,4,4,2,2,2,3,4,1,2,4,5,2,6,6,5
10073,2911,Zuid-Holland,4,2,3,3,2,1,1,3,4,2,6,4,8,9,6,2,5,4,2,2,1,3,4,1,3,3,5,2,6,6,5
16918,2911,Zuid-Holland,4,1,5,1,2,1,1,5,2,2,6,5,10,NA,6,2,5,4,1,2,1,3,4,1,3,3,6,2,6,6,5
16592,2911,Zuid-Holland,4,1,5,1,1,1,1,5,1,1,6,5,12,NA,6,1,5,4,1,1,1,3,4,1,2,3,6,2,6,6,5
20523,2911,Zuid-Holland,4,2,2,5,2,1,1,2,5,2,6,5,7,NA,4,2,5,3,2,2,1,4,4,2,3,2,6,4,6,6,5
16433,2911,Zuid-Holland,4,3,1,1,4,2,2,2,1,5,1,1,4,6,2,5,4,2,3,4,3,3,2,2,2,2,3,5,3,2,2
12940,2911,Zuid-Holland,4,2,1,4,3,1,1,1,4,3,2,4,5,NA,3,5,2,4,1,2,4,2,1,1,2,4,3,1,5,3,5
12995,2911,Zuid-Holland,4,1,5,2,2,1,1,5,2,1,6,5,12,NA,6,2,5,4,1,2,2,3,4,1,3,3,6,3,5,6,5
10912,2911,Zuid-Holland,4,2,3,4,1,1,1,3,4,1,6,5,7,NA,4,2,5,3,1,2,1,4,4,1,2,2,5,3,5,6,5
18764,2912,Zuid-Holland,4,2,3,4,2,1,1,3,4,2,6,4,7,9,4,3,4,4,1,3,2,4,3,1,3,3,5,3,5,6,5
19865,2912,Zuid-Holland,4,6,5,2,1,1,1,5,2,1,6,5,9,NA,4,2,5,4,2,1,1,4,2,1,1,4,5,2,6,6,5
24558,2912,Zuid-Holland,4,6,5,1,1,1,1,5,1,1,4,4,11,NA,9,2,4,5,1,1,2,3,3,1,2,4,4,1,6,5,5
14352,2912,Zuid-Holland,4,2,2,4,3,1,1,2,4,3,2,3,8,11,3,5,3,4,2,2,4,2,2,2,2,4,3,1,6,3,5
11714,2912,Zuid-Holland,4,1,5,2,2,2,1,5,2,1,6,4,9,NA,6,2,5,4,1,1,2,2,4,1,3,3,5,3,5,6,5
18202,2912,Zuid-Holland,4,3,2,3,4,1,1,2,3,4,3,2,7,NA,9,3,4,5,1,1,3,2,4,1,1,4,4,2,4,3,5
11588,2912,Zuid-Holland,4,6,4,3,2,1,1,3,4,1,5,4,10,NA,6,3,5,3,3,2,1,3,4,1,3,3,6,2,6,6,4
