policy_number,claim_number,claim_date,notification_date,finish_date,description,country_code,country,amount_cas,amount_wa,cost_ca,cost_wa,amount_reclaimed,total
13738,12272,25-05-2014,26-05-2014,01-08-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,944.9399999999999,NA,79.6,NA,-1055.82,-31.28
25503,12273,30-03-2016,31-05-2016,06-06-2016,RUITBREUK,NL,Nederland,583.26,NA,NA,NA,NA,583.26
25504,12274,18-01-2017,18-01-2017,13-04-2017,"BRAND, KORTSLUITING, ONTPLOFFING, ETC.",NL,Nederland,9595,NA,154.88000000000002,77.44000000000001,NA,9827.32
25504,12275,01-11-2014,05-11-2014,23-01-2015,STOND GEPARKEERD,NL,Nederland,732.4499999999999,NA,69.6,NA,NA,802.05
25505,12276,14-06-2014,19-06-2014,10-07-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1214.62,NA,69.6,NA,-1315.5,-31.28
25505,12277,14-06-2014,21-07-2014,26-08-2014,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,NA,482.17,NA,85.11999999999999,NA,567.29
25506,12278,01-10-2014,16-10-2014,22-10-2014,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
25507,12279,10-09-2014,17-10-2014,22-10-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,499.69,NA,1,NA,NA,500.69
13743,12280,06-08-2018,19-09-2018,20-09-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,647.59,NA,NA,NA,NA,647.59
13743,12281,23-12-2017,28-12-2017,22-05-2018,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,389.08,794.39,NA,85.47,NA,1268.94
13743,12282,01-11-2015,04-11-2015,09-11-2015,RUITVERVANGING DOOR CARGLASS,NL,Nederland,120.55,NA,NA,NA,NA,120.55
25508,12283,01-02-2014,03-02-2014,25-03-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,605.09,NA,NA,NA,-605.09,0
13746,12284,25-03-2017,27-03-2017,23-05-2017,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,NA,800.63,NA,NA,NA,800.63
25509,12285,06-02-2015,09-02-2015,15-09-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,70.99000000000001,NA,NA,70.99
25509,12286,06-02-2015,04-11-2015,20-01-2016,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,NA,NA,NA,NA,0
13748,12287,17-02-2017,24-02-2017,03-04-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,971.23,NA,77.44000000000001,NA,-1081.1799999999998,-32.51
13748,12288,12-10-2015,21-10-2015,26-10-2015,RUITVERVANGING DOOR CARGLASS,NL,Nederland,574.1800000000001,NA,NA,NA,NA,574.18
13748,12289,29-05-2014,30-05-2014,18-06-2014,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,NA,900,NA,81.07,NA,981.07
25510,12290,23-12-2014,29-12-2014,21-04-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25510,12291,23-12-2014,30-01-2015,09-07-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,863.87,NA,40.290000000000006,NA,-1194.03,-289.87
13752,12292,04-09-2016,12-09-2016,19-09-2016,RUITVERVANGING DOOR CARGLASS,NL,Nederland,356.04,NA,NA,NA,NA,356.04
13752,12293,05-05-2015,06-05-2015,18-06-2015,BOTSING MET LOSLOPEND WILD,NL,Nederland,1485.21,NA,40.290000000000006,NA,NA,1525.5
13753,12294,08-09-2018,19-09-2018,13-10-2018,STOND GEPARKEERD,NL,Nederland,526.3,NA,NA,NA,NA,526.3
25511,12295,14-03-2014,24-03-2014,25-03-2014,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
25512,12296,05-02-2015,05-02-2015,02-03-2015,GING PARKEREN (TERZIJDE VAN DE WEG),NL,Nederland,1510.1799999999998,558.08,70.99000000000001,1.1400000000000001,NA,2140.39
25512,12297,27-02-2014,28-02-2014,31-03-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,494.2,NA,69.6,NA,NA,563.8
13755,12298,08-08-2016,08-09-2016,12-09-2016,Ruitvervanging door Glasgarage,NL,Nederland,244.73,NA,NA,NA,NA,244.73
25513,12299,28-05-2014,30-05-2014,17-03-2015,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,NA,1487.82,NA,223.17,NA,1710.99
13756,12300,07-12-2016,21-12-2016,07-02-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,746.39,NA,77.44000000000001,NA,-856.3399999999999,-32.51
13756,12301,04-10-2016,21-10-2016,01-11-2016,RUITVERVANGING DOOR CARGLASS,NL,Nederland,385.31,NA,NA,NA,NA,385.31
25514,12302,21-12-2015,29-12-2015,23-02-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,93.78,NA,NA,NA,-93.78,0
25514,12303,09-06-2015,09-06-2015,25-01-2016,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,908.63,NA,NA,NA,908.63
13757,12304,19-11-2018,19-11-2018,17-09-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13757,12305,02-11-2017,03-11-2017,19-11-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,2193.13,NA,90.45,-2223.08,60.5
13757,12306,10-07-2017,12-07-2017,18-07-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13758,12307,08-10-2017,09-10-2017,27-12-2017,REED VOORUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,497.9,563.7800000000001,NA,NA,NA,1061.68
13759,12308,18-09-2014,19-09-2014,03-11-2014,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,674.25,814.22,5,NA,NA,1493.47
13759,12309,18-03-2014,18-03-2014,22-04-2014,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,NA,NA,NA,NA,NA,0
13760,12310,30-08-2017,31-08-2017,29-09-2017,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,2099.56,NA,NA,NA,NA,2099.56
13760,12311,26-11-2015,26-11-2015,30-11-2015,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,NA,NA,NA,60.5
25515,12312,09-11-2018,09-11-2018,26-02-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25515,12313,21-08-2015,25-08-2015,03-10-2015,STOND GEPARKEERD,NL,Nederland,1235.06,NA,NA,NA,NA,1235.06
13761,12314,07-03-2019,15-03-2019,18-03-2019,RUITREPARATIE DOOR CARGLASS,NL,Nederland,72.6,NA,NA,NA,NA,72.6
13761,12315,05-03-2014,13-06-2014,18-06-2014,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
25516,12316,08-04-2017,10-04-2017,25-04-2017,REED ACHTERUIT OP EEN TERREIN,NL,Nederland,1981.45,NA,77.44000000000001,NA,NA,2058.89
25516,12317,05-05-2015,06-05-2015,17-06-2015,VERLEENDE GEEN VOORRANG,NL,Nederland,1610.5,NA,70.99000000000001,NA,NA,1681.49
13763,12318,17-07-2015,20-07-2015,16-02-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,80.99000000000001,NA,NA,80.99
13765,12319,01-05-2014,09-05-2014,19-06-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25517,12320,14-06-2016,21-06-2016,27-06-2016,RUITREPARATIE DOOR CARGLASS,NL,Nederland,86.1,NA,NA,NA,NA,86.1
25517,12321,15-03-2016,18-03-2016,01-08-2016,STOND GEPARKEERD,NL,Nederland,662.14,NA,NA,NA,NA,662.14
25517,12322,15-03-2016,18-03-2016,29-03-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13766,12323,28-06-2019,21-08-2019,12-09-2019,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,259,NA,1.07,NA,260.07
13766,12324,30-08-2018,22-10-2018,20-06-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,2258.27,NA,NA,NA,2258.27
13767,12325,29-05-2018,04-06-2018,03-07-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1361.01,NA,NA,NA,-1258.93,102.08
13768,12326,23-08-2019,26-08-2019,NA,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,3710.84,NA,NA,NA,NA,3710.84
25518,12327,03-04-2014,03-04-2014,04-12-2014,ONVOLDOENDE RECHTS GEHOUDEN,NL,Nederland,157.7,1118.75,39.5,NA,NA,1315.95
13770,12328,02-07-2015,08-07-2015,18-12-2015,HAGEL,NL,Nederland,316.41999999999996,NA,77.44000000000001,NA,NA,393.86
13770,12329,20-07-2014,21-07-2014,21-08-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2086.8500000000004,-2086.8500000000004,39.5,NA,NA,39.5
13770,12330,13-06-2014,16-06-2014,25-06-2014,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
13770,12331,03-04-2014,03-04-2014,17-04-2014,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,1816.8,NA,39.5,NA,NA,1856.3
13772,12332,24-10-2015,26-10-2015,21-12-2015,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,2909.7599999999998,NA,77.44000000000001,NA,-1366.1299999999999,1621.07
13772,12333,16-07-2015,16-07-2015,15-01-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,745.88,NA,70.99000000000001,NA,-689.8399999999999,127.03
13775,12334,06-03-2017,08-03-2017,27-03-2017,VERLEENDE GEEN VOORRANG,NL,Nederland,NA,1528.1299999999999,NA,32.51,NA,1560.64
13775,12335,27-05-2016,08-07-2016,11-07-2016,RUITVERVANGING DOOR CARGLASS,NL,Nederland,482.64000000000004,NA,NA,NA,NA,482.64
13776,12336,22-03-2019,25-03-2019,17-05-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2115.12,NA,NA,NA,-1956.48,158.64
13777,12337,29-03-2017,03-07-2017,03-07-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,501.46,NA,NA,NA,NA,501.46
13779,12338,10-01-2015,16-01-2015,03-02-2015,STOND GEPARKEERD,NL,Nederland,751.6800000000001,NA,40.290000000000006,NA,NA,791.97
13779,12339,12-06-2014,19-06-2014,25-06-2014,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,1,NA,NA,61.5
13780,12340,26-02-2014,19-03-2014,28-04-2014,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,1318.6799999999998,NA,70.16,NA,NA,1388.84
25519,12341,19-02-2014,21-02-2014,03-03-2014,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,46.52,NA,5,NA,NA,51.52
25520,12342,01-06-2015,17-06-2015,24-06-2015,RUITREPARATIE DOOR CARGLASS,NL,Nederland,107.58,NA,1,NA,NA,108.58
13781,12343,02-01-2017,10-02-2017,10-02-2017,Ruitvervanging door Glasgarage,NL,Nederland,322.86,NA,NA,NA,NA,322.86
25521,12344,16-02-2015,17-02-2015,25-02-2015,Ruitreparatie door Glasgarage,NL,Nederland,54.449999999999996,NA,1,NA,NA,55.45
13783,12345,05-08-2017,09-08-2017,23-01-2018,HAGEL,NL,Nederland,2505,NA,77.44000000000001,NA,NA,2582.44
13784,12346,11-07-2018,11-07-2018,29-11-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3484.68,NA,NA,NA,-3223.34,261.34
13784,12347,15-02-2014,17-02-2014,13-05-2014,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,628.4499999999999,623.15,39.5,NA,NA,1291.1
13786,12348,07-09-2019,09-09-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13786,12349,05-04-2015,07-04-2015,28-05-2015,VERLEENDE GEEN VOORRANG,NL,Nederland,982.3599999999999,1097.21,5,52.65,NA,2137.22
13789,12350,05-12-2018,06-12-2018,26-06-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3680,NA,78.53,NA,-3680,78.53
13789,12351,10-04-2017,13-04-2017,18-04-2017,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,208.26,NA,NA,NA,NA,208.26
13789,12352,10-09-2016,13-09-2016,19-09-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,204.43,NA,NA,NA,NA,204.43
13789,12353,13-06-2014,13-06-2014,19-08-2014,STOND GEPARKEERD,NL,Nederland,1262.1799999999998,NA,1,NA,-1262.1799999999998,1
13790,12354,10-10-2018,10-10-2018,10-12-2018,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,NA,NA,NA,NA,NA,0
13793,12355,04-06-2016,20-06-2016,04-08-2016,"NIET SCHULDSCHADE, VERHAALBAAR",F,Frankrijk,409.77,NA,NA,NA,-379.03,30.74
13793,12356,19-02-2016,08-03-2016,14-03-2016,RUITVERVANGING DOOR CARGLASS,NL,Nederland,505.21999999999997,NA,NA,NA,NA,505.22
13793,12357,12-08-2014,28-08-2014,23-09-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,681.39,NA,5,NA,NA,686.39
13794,12358,02-07-2017,07-07-2017,20-07-2017,KEERDE OP OPENBARE WEG,NL,Nederland,NA,1254.49,NA,33.660000000000004,NA,1288.15
13794,12359,23-06-2017,30-06-2017,24-07-2017,STOND GEPARKEERD,NL,Nederland,498.25,NA,NA,NA,-460.88,37.37
13794,12360,28-04-2016,06-05-2016,09-05-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,410.65000000000003,NA,NA,NA,NA,410.65
25522,12361,27-08-2016,29-08-2016,11-10-2016,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,502.85,NA,NA,NA,NA,502.85
13795,12362,09-04-2015,01-05-2015,04-06-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13795,12363,03-10-2014,20-11-2014,20-05-2015,VERANDERDE VAN RIJSTROOK,NL,Nederland,NA,1168.37,NA,307.84000000000003,NA,1476.21
13795,12364,16-01-2014,20-02-2014,01-04-2014,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,216.69,NA,NA,NA,NA,216.69
25523,12365,21-05-2014,26-05-2014,26-06-2014,STOND GEPARKEERD,NL,Nederland,2053.36,NA,69.6,NA,NA,2122.96
13796,12366,31-01-2018,19-02-2018,10-09-2018,ARTIKEL 185 WVW,NL,Nederland,894.03,NA,NA,NA,-826.97,67.06
13796,12367,20-06-2014,23-06-2014,19-08-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2307.2599999999998,NA,69.6,NA,-2164.25,212.61
13797,12368,13-12-2018,18-12-2018,11-02-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,827.42,NA,NA,-827.42,0
13797,12369,25-03-2018,26-03-2018,22-06-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,539.74,NA,NA,NA,-499.25,40.49
13797,12370,16-03-2017,17-03-2017,20-03-2017,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,442.31,NA,NA,NA,NA,442.31
25524,12371,14-05-2014,23-05-2014,28-05-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,557.05,NA,1,NA,NA,558.05
13798,12372,24-06-2016,24-06-2016,31-01-2017,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,2351.2,NA,114.95,NA,NA,2466.15
13799,12373,24-06-2016,24-06-2016,05-07-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,2204.92,NA,79.43,NA,2284.35
13799,12374,04-04-2014,07-04-2014,14-04-2014,GLASSREPAIR,NL,Nederland,66.55,NA,NA,NA,NA,66.55
13803,12375,10-07-2017,10-07-2017,11-09-2017,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,3723.25,NA,NA,NA,NA,3723.25
13804,12376,06-05-2015,15-05-2015,30-06-2015,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,789.91,NA,5,NA,NA,794.91
13805,12377,18-05-2015,05-06-2015,10-06-2015,RUITVERVANGING DOOR CARGLASS,NL,Nederland,187.73999999999998,NA,1,NA,NA,188.74
13806,12378,20-04-2016,06-05-2016,17-05-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,703.62,NA,NA,NA,NA,703.62
13806,12379,28-03-2014,07-04-2014,16-04-2014,Ruitvervanging door Glasgarage,NL,Nederland,578.31,NA,1,NA,NA,579.31
13810,12380,06-03-2014,06-03-2014,30-07-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13810,12381,06-03-2014,19-03-2014,23-04-2014,REED ACHTERUIT OP EEN TERREIN,NL,Nederland,NA,4458.1500000000005,NA,6.51,NA,4464.66
13810,12382,28-02-2014,12-03-2014,16-04-2014,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,2239.2599999999998,NA,75.3,NA,2314.56
13812,12383,27-04-2014,28-04-2014,08-05-2014,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25525,12384,07-07-2018,23-08-2018,24-04-2019,"SCHULDSCHADE, NIET VERHAALBAAR",B,Belgie,NA,NA,NA,200,NA,200
25525,12385,09-12-2016,14-12-2016,25-01-2017,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,1292.85,NA,81.1,NA,1373.95
25525,12386,11-11-2016,23-05-2017,18-07-2017,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1968.34,NA,NA,NA,1968.34
25525,12387,29-02-2016,07-03-2016,08-03-2016,GLASSREPAIR,NL,Nederland,96.8,NA,NA,NA,NA,96.8
13814,12388,27-05-2017,29-05-2017,30-04-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3112.8900000000003,NA,717.8499999999999,NA,-4579.74,-749
13814,12389,24-04-2016,26-04-2016,23-08-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13814,12390,06-07-2015,08-07-2015,11-11-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13814,12391,21-02-2014,24-02-2014,29-04-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1150,NA,79.6,NA,-1150,79.6
13816,12392,14-07-2019,15-07-2019,19-08-2019,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,952.49,NA,NA,NA,NA,952.49
13816,12393,18-01-2018,19-01-2018,08-03-2018,STORM (CALAMITEIT),NL,Nederland,NA,1035.12,NA,NA,NA,1035.12
13816,12394,16-04-2014,17-04-2014,28-04-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,499.61,NA,69.6,NA,NA,569.21
13817,12395,24-02-2016,24-02-2016,NA,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,82522,NA,6056.120000000001,NA,88578.12
13817,12396,24-02-2016,16-01-2017,22-02-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13818,12397,28-03-2015,31-03-2015,07-04-2015,GLASSREPAIR,NL,Nederland,96.8,NA,NA,NA,NA,96.8
13819,12398,25-03-2016,31-03-2016,04-04-2016,RUITREPARATIE DOOR CARGLASS,NL,Nederland,86.1,NA,NA,NA,NA,86.1
13819,12399,24-04-2015,30-04-2015,07-05-2015,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
13821,12400,28-05-2019,03-06-2019,12-06-2019,RUITVERVANGING DOOR CARGLASS,NL,Nederland,331.78999999999996,NA,NA,NA,NA,331.79
13821,12401,24-03-2019,02-04-2019,17-04-2019,RUITVERVANGING DOOR CARGLASS,NL,Nederland,331.78999999999996,NA,NA,NA,NA,331.79
13821,12402,05-10-2016,17-10-2016,24-10-2016,RUITVERVANGING DOOR CARGLASS,NL,Nederland,386.04,NA,NA,NA,NA,386.04
13824,12403,08-03-2018,08-03-2018,06-07-2018,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,1253.44,484,NA,2.75,-1646.1799999999998,94.01
13824,12404,13-12-2014,18-12-2014,24-12-2014,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,1,NA,NA,61.5
13826,12405,08-05-2017,16-05-2017,08-08-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,753.5,NA,77.44000000000001,NA,-1128.99,-298.05
13826,12406,05-11-2016,09-11-2016,02-01-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,482.77,NA,NA,NA,-514.8599999999999,-32.09
13830,12407,14-05-2014,14-05-2014,18-06-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,69.6,NA,NA,69.6
13830,12408,14-05-2014,02-06-2014,09-07-2014,VERLEENDE GEEN VOORRANG,NL,Nederland,NA,950,NA,122.2,NA,1072.2
25526,12409,04-04-2015,23-04-2015,30-04-2015,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,1,NA,NA,61.5
25527,12410,01-07-2017,19-10-2017,04-01-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25527,12411,28-06-2017,03-07-2017,24-01-2018,REED VOORUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,NA,761.9599999999999,NA,NA,NA,761.96
25528,12412,10-04-2015,13-04-2015,07-09-2015,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,2001.25,3064.36,80.99000000000001,459.65000000000003,NA,5606.25
13831,12413,08-08-2018,21-08-2018,23-08-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,51.43,NA,NA,NA,NA,51.43
13832,12414,18-06-2015,18-06-2015,25-04-2017,GING PARKEREN (TERZIJDE VAN DE WEG),NL,Nederland,1139.49,579.38,40.290000000000006,NA,-527.02,1232.14
13833,12415,24-03-2015,27-03-2015,01-04-2015,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,1,NA,NA,61.5
13833,12416,22-09-2014,23-09-2014,15-10-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1300,NA,39.5,NA,NA,1339.5
25529,12417,28-07-2017,07-08-2017,08-08-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,48.4,NA,NA,NA,NA,48.4
25529,12418,28-07-2015,29-07-2015,05-08-2015,Ruitreparatie door Glasgarage,NL,Nederland,54.449999999999996,NA,1,NA,NA,55.45
25529,12419,16-12-2014,17-12-2014,05-03-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13834,12420,08-11-2018,09-11-2018,06-12-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,5497.7699999999995,NA,78.53,NA,-5497.7699999999995,78.53
13834,12421,04-01-2016,04-01-2016,08-02-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1225.1299999999999,NA,77.44000000000001,NA,-1225.1299999999999,77.44
25530,12422,15-05-2015,22-06-2015,14-07-2015,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,NA,20,NA,NA,20
13838,12423,06-10-2017,09-10-2017,17-10-2017,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,NA,NA,NA,60.5
13838,12424,12-07-2017,13-07-2017,20-11-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1729.99,NA,NA,NA,-1600.23,129.76
13839,12425,22-12-2014,06-01-2015,06-07-2015,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,NA,NA,NA,NA,0
25531,12426,21-01-2014,28-01-2014,17-03-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,654.2,NA,39.5,NA,-724.98,-31.28
25531,12427,03-01-2014,03-01-2014,20-02-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,157.94,NA,69.6,NA,-258.82,-31.28
25532,12428,14-07-2016,15-07-2016,22-09-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3163.13,NA,77.44000000000001,NA,-3272.66,-32.09
13843,12429,06-03-2018,10-04-2018,13-04-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,377.45,NA,NA,NA,NA,377.45
13844,12430,06-04-2016,07-04-2016,15-06-2016,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,1365.53,NA,77.44000000000001,NA,NA,1442.97
13845,12431,02-11-2015,10-11-2015,08-12-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
13845,12432,31-05-2015,03-06-2015,14-09-2015,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,NA,NA,NA,NA,NA,0
13845,12433,16-07-2014,16-07-2014,28-07-2014,STOND GEPARKEERD,NL,Nederland,1742.28,NA,39.5,NA,NA,1781.78
13846,12434,04-03-2019,05-03-2019,30-04-2019,STORM,NL,Nederland,1214.1399999999999,NA,78.53,NA,NA,1292.67
13846,12435,26-03-2016,01-04-2016,11-04-2016,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
13846,12436,05-11-2015,17-11-2015,18-11-2015,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
13846,12437,26-06-2014,07-07-2014,10-07-2014,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
13847,12438,27-12-2014,02-01-2015,21-02-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1126.6399999999999,NA,40.290000000000006,NA,-700,466.93
13848,12439,03-01-2014,06-01-2014,27-01-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1906.36,NA,39.5,NA,NA,1945.86
25533,12440,12-04-2014,14-04-2014,16-04-2014,STOND GEPARKEERD,NL,Nederland,NA,NA,NA,NA,NA,0
13849,12441,29-04-2017,03-05-2017,09-06-2017,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,561.3399999999999,NA,NA,NA,561.34
13850,12442,16-02-2018,21-02-2018,28-02-2018,GLASSREPAIR,NL,Nederland,96.8,NA,NA,NA,NA,96.8
13850,12443,12-05-2016,13-05-2016,05-03-2018,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,477.92999999999995,4463.67,77.44000000000001,NA,NA,5019.04
13852,12444,29-09-2019,30-09-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25534,12445,10-11-2017,07-12-2017,08-12-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,318.31,NA,NA,NA,NA,318.31
